,testsize,neighbours,accuracy
15,0.1,30,0.8363524715996316
16,0.2,15,0.8320282511899278
17,0.2,16,0.8334101028711807
18,0.2,17,0.8326424074927069
19,0.2,18,0.8329494856440964
20,0.2,19,0.8331030247197911
21,0.2,20,0.8326424074927069
22,0.2,21,0.8315676339628435
23,0.2,22,0.8315676339628435
24,0.2,23,0.8320282511899278
25,0.2,24,0.8298787041302012
26,0.2,25,0.8337171810225702
27,0.2,26,0.831874712114233
28,0.2,27,0.833870720098265
29,0.2,28,0.833870720098265
30,0.2,29,0.8320282511899278
31,0.2,30,0.8317211730385383
32,0.30000000000000004,15,0.8333503941037977
33,0.30000000000000004,16,0.8342716757088751
34,0.30000000000000004,17,0.8345787695772341
35,0.30000000000000004,18,0.8350905926911659
36,0.30000000000000004,19,0.8362166035418159
37,0.30000000000000004,20,0.8330433002354386
38,0.30000000000000004,21,0.8329409356126523
39,0.30000000000000004,22,0.8333503941037977
40,0.30000000000000004,23,0.8340669464633023
41,0.30000000000000004,24,0.8348858634455932
42,0.30000000000000004,25,0.8356024158050978
43,0.30000000000000004,26,0.8345787695772341
44,0.30000000000000004,27,0.8362166035418159
45,0.30000000000000004,28,0.8351929573139523
46,0.30000000000000004,29,0.8359095096734569
47,0.30000000000000004,30,0.8339645818405159
48,0.4,15,0.8295585412667946
49,0.4,16,0.829404990403071
50,0.4,17,0.8307869481765835
51,0.4,18,0.8309404990403071
52,0.4,19,0.8319385796545106
53,0.4,20,0.832552783109405
54,0.4,21,0.8338579654510556
55,0.4,22,0.833320537428023
56,0.4,23,0.8343953934740883
57,0.4,24,0.8344721689059501
58,0.4,25,0.8350863723608445
59,0.4,26,0.8345489443378119
60,0.4,27,0.8345489443378119
61,0.4,28,0.8339347408829174
62,0.4,29,0.8340115163147793
63,0.4,30,0.8335508637236084
0,0.1,31,0.8381946576604237
1,0.1,32,0.8375805956401596
2,0.1,33,0.8345102855388394
3,0.1,34,0.8326680994780473
4,0.1,35,0.8314399754375192
5,0.1,36,0.8299048203868591
6,0.1,37,0.8317470064476512
7,0.1,38,0.8308259134172551
8,0.1,39,0.8332821614983114
9,0.1,40,0.8311329444273872
10,0.1,41,0.8305188824071231
11,0.1,42,0.8323610684679152
12,0.1,43,0.8317470064476512
13,0.1,44,0.8317470064476512
14,0.1,45,0.8335891925084433
15,0.2,31,0.8331030247197911
16,0.2,32,0.8311070167357593
17,0.2,33,0.8329494856440964
18,0.2,34,0.8327959465684016
19,0.2,35,0.8331030247197911
20,0.2,36,0.8337171810225702
21,0.2,37,0.8346384154767388
22,0.2,38,0.8329494856440964
23,0.2,39,0.8340242591739597
24,0.2,40,0.8340242591739597
25,0.2,41,0.8337171810225702
26,0.2,42,0.8349454936281283
27,0.2,43,0.8363273453093812
28,0.2,44,0.836480884385076
29,0.2,45,0.8377091969906341
30,0.30000000000000004,31,0.8346811342000204
31,0.30000000000000004,32,0.8337598525949432
32,0.30000000000000004,33,0.8355000511823114
33,0.30000000000000004,34,0.8351929573139523
34,0.30000000000000004,35,0.8362166035418159
35,0.30000000000000004,36,0.8363189681646023
36,0.30000000000000004,37,0.8363189681646023
37,0.30000000000000004,38,0.8352953219367386
38,0.30000000000000004,39,0.8355000511823114
39,0.30000000000000004,40,0.8355000511823114
40,0.30000000000000004,41,0.8368307912785341
41,0.30000000000000004,42,0.8359095096734569
42,0.30000000000000004,43,0.8368307912785341
43,0.30000000000000004,44,0.8361142389190296
44,0.30000000000000004,45,0.8374449790152523
45,0.4,31,0.8340882917466411
46,0.4,32,0.8327831094049905
47,0.4,33,0.8345489443378119
48,0.4,34,0.8344721689059501
49,0.4,35,0.8344721689059501
50,0.4,36,0.8343186180422265
51,0.4,37,0.8343953934740883
52,0.4,38,0.833704414587332
53,0.4,39,0.8347024952015355
54,0.4,40,0.8337811900191938
55,0.4,41,0.8356238003838772
56,0.4,42,0.8347792706333973
57,0.4,43,0.8352399232245682
58,0.4,44,0.83531669865643
59,0.4,45,0.8360076775431862
